"BK_CLIENTE","COD_CLIENTE","LOJA_CLIENTE","NOME_CLIENTE","SEGMENTACAO_ATIVIDADE_1","INSTANCIA"
"P |01|SA1T10|D MG|FIN07801","FIN078","01","CLIENTE 78 PCC NA BX IR EMIS            ","      ","01"
"P |01|SA1T10|D MG|FIN07901","FIN079","01","CLIENTE 79 PCC NA BX IRRF NA EMIS       ","      ","01"
"P |01|SA1T10|D MG|FIN08001","FIN080","01","CLIENTE PCC                             ","      ","01"
"P |01|SA1T10|D MG|FIN08101","FIN081","01","CLIENTE SEM IMPOSTOS COMPENSACAO        ","      ","01"
"P |01|SA1T10|D MG|FIN08102","FIN081","02","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN08201","FIN082","01","CLIENTE 82 SEM IMPOSTO                  ","      ","01"
"P |01|SA1T10|D MG|FIN08301","FIN083","01","CLIENTE 83 SEM IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|FIN08401","FIN084","01","MCDONALD'S                              ","      ","01"
"P |01|SA1T10|D MG|FIN08501","FIN085","01","CLIENTE PJ TODOS OS IMPOSTOS IR NA EMISS","      ","01"
"P |01|SA1T10|D MG|FIN08601","FIN086","01","CLIENTE PJ TODOS OS IMPOSTOS IR NA BAIXA","      ","01"
"P |01|SA1T10|D MG|FIN08701","FIN087","01","CLIENTE PF TODOS OS IMPOSTOS            ","      ","01"
"P |01|SA1T10|D MG|FIN08801","FIN088","01","CLIENTE 88 PCC/ISS/IRRF                 ","      ","01"
"P |01|SA1T10|D MG|FIN08901","FIN089","01","CLIENTE PJ RECOLHE IR=NAO               ","      ","01"
"P |01|SA1T10|D MG|FIN09001","FIN090","01","CLIENTE PJ RECOLHE IR=NAO               ","      ","01"
"P |01|SA1T10|D MG|FIN09101","FIN091","01","FORNECEDOR PCC                          ","      ","01"
"P |01|SA1T10|D MG|FIN09201","FIN092","01","TODOS OS IMPOSTOS IR NA EMISSAO PCC BX  ","      ","01"
"P |01|SA1T10|D MG|FIN09301","FIN093","01","TODOS IMP IR E PCC BX                   ","      ","01"
"P |01|SA1T10|D MG|FIN09401","FIN094","01","TODOS IMP IR NA EMISSAO PCC BX RET RA   ","      ","01"
"P |01|SA1T10|D MG|FIN09501","FIN095","01","TODOS IMP IR E PCC BX RET RA            ","      ","01"
"P |01|SA1T10|D MG|FIN09601","FIN096","01","CLIENTE PJ SIMPLES                      ","      ","01"
"P |01|SA1T10|D MG|FIN09701","FIN097","01","MCDONALD'S                              ","      ","01"
"P |01|SA1T10|D MG|FIN09801","FIN098","01","CLIENTE PJ PCC EMISSAO                  ","      ","01"
"P |01|SA1T10|D MG|FIN09901","FIN099","01","FORNECEDOR PCC                          ","      ","01"
"P |01|SA1T10|D MG|FIN10000","FIN100","00","SEM IMPOSTO                             ","      ","01"
"P |01|SA1T10|D MG|FIN10001","FIN100","01","FORNECEDOR JURIDICO - PCC               ","      ","01"
"P |01|SA1T10|D MG|FIN10100","FIN101","00","SEM IIMPOSTO                            ","      ","01"
"P |01|SA1T10|D MG|FIN10101","FIN101","01","CLIENTE PJ PCC-IR BAIXA                 ","      ","01"
"P |01|SA1T10|D MG|FIN10201","FIN102","01","CLIENTE PJ PCC-IR BX                    ","      ","01"
"P |01|SA1T10|D MG|FIN10301","FIN103","01","CLIENTE PJ SIMPLES - DESDOBRAMENTO      ","      ","01"
"P |01|SA1T10|D MG|FIN10401","FIN104","01","CLIENTE PJ SIMPLES - DESDOBR.-CANCEC    ","      ","01"
"P |01|SA1T10|D MG|FIN10501","FIN105","01","CLIENTE COM TODOS IMPOSTOS              ","      ","01"
"P |01|SA1T10|D MG|FIN10601","FIN106","01","FORNECEDOR PCC                          ","      ","01"
"P |01|SA1T10|D MG|FIN1071","FIN107","1 ","CLEINTE PJ PCC/IR                       ","      ","01"
"P |01|SA1T10|D MG|FIN10801","FIN108","01","CLIENTE PJ PCC/IR                       ","      ","01"
"P |01|SA1T10|D MG|FIN10901","FIN109","01","CLIENTE EFD PIS COFINS                  ","      ","01"
"P |01|SA1T10|D MG|FIN11001","FIN110","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN11002","FIN110","02","FINA110 - TODOS OS IMPOSTOS             ","      ","01"
"P |01|SA1T10|D MG|FIN11101","FIN111","01","CLIENTE SIMPLES PJ - DESDOBRAMENTO      ","      ","01"
"P |01|SA1T10|D MG|FIN11201","FIN112","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN11301","FIN113","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN11401","FIN114","01","CLIENTE MOEDA 2 - TVFMF5                ","      ","01"
"P |01|SA1T10|D MG|FIN11501","FIN115","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN11601","FIN116","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN11701","FIN117","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN11801","FIN118","01","PJ PCC                                  ","      ","01"
"P |01|SA1T10|D MG|FIN11901","FIN119","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN12001","FIN120","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN12101","FIN121","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN12201","FIN122","01","CLIENTE SEM IMPOSTO                     ","      ","01"
"P |01|SA1T10|D MG|FIN12301","FIN123","01","CLIENTE SEM IMPOSTO                     ","      ","01"
"P |01|SA1T10|D MG|FIN12401","FIN124","01","CLIENTE SEM IMPOSTO                     ","      ","01"
"P |01|SA1T10|D MG|FIN12501","FIN125","01","CLIENTE SEM IMPOSTO                     ","      ","01"
"P |01|SA1T10|D MG|FIN12601","FIN126","01","CLIENTE SEM IMPOSTO                     ","      ","01"
"P |01|SA1T10|D MG|FIN12701","FIN127","01","CLIENTE SEM IMPOSTO                     ","      ","01"
"P |01|SA1T10|D MG|FIN12801","FIN128","01","CLIENTE PADRAO SEM IMPOSTOS             ","      ","01"
"P |01|SA1T10|D MG|FIN12901","FIN129","01","CLIENTE PADRAO TST FATURA               ","      ","01"
"P |01|SA1T10|D MG|FIN13001","FIN130","01","CLIENTE PADRAO TST FAT                  ","      ","01"
"P |01|SA1T10|D MG|FIN13101","FIN131","01","CLIENTE PADRAO TST FAT                  ","      ","01"
"P |01|SA1T10|D MG|FIN13201","FIN132","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN13301","FIN133","01","CLIENTE PJ COM IR                       ","      ","01"
"P |01|SA1T10|D MG|FIN13401","FIN134","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN13501","FIN135","01","C.PJ - INSS+IR+PCC+ISS=N+IRPJ=S         ","      ","01"
"P |01|SA1T10|D MG|FIN13601","FIN136","01","CLIENTE PJ - PCC IR                     ","      ","01"
"P |01|SA1T10|D MG|FIN13701","FIN137","01","CLIENTE PJ PCC - IR                     ","      ","01"
"P |01|SA1T10|D MG|FIN13801","FIN138","01","CLIENTE PJ PCC- IR                      ","      ","01"
"P |01|SA1T10|D MG|FIN13901","FIN139","01","CLIENTE PJ - SIMPLES                    ","      ","01"
"P |01|SA1T10|D MG|FIN14001","FIN140","01","CLIENTE PJ SIMPLES                      ","      ","01"
"P |01|SA1T10|D MG|FIN14101","FIN141","01","CLIENTE PJ SIMPLES                      ","      ","01"
"P |01|SA1T10|D MG|FIN14201","FIN142","01","CLIENTE PJ SEM IMP. TST LQ RM           ","      ","01"
"P |01|SA1T10|D MG|FIN14301","FIN143","01","CLIENTE PJ SE IMP TST LQ RM             ","      ","01"
"P |01|SA1T10|D MG|FIN14401","FIN144","01","CLIENTE PJ SEM IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|FIN14501","FIN145","01","CLIENTE PJ SEM IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|FIN14601","FIN146","01","CLIENTE PJ SEM IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|FIN14701","FIN147","01","CLIENTE PJ SIMPLES                      ","      ","01"
"P |01|SA1T10|D MG|FIN14801","FIN148","01","CLIENTE PJ SIMPLES                      ","      ","01"
"P |01|SA1T10|D MG|FIN14901","FIN149","01","CLIENTE PJ COM PCC - IR                 ","      ","01"
"P |01|SA1T10|D MG|FIN15001","FIN150","01","CLIENTE PCC/ IRRF                       ","      ","01"
"P |01|SA1T10|D MG|FIN15101","FIN151","01","JURIDICO SEM IMPOSTOS                   ","      ","01"
"P |01|SA1T10|D MG|FIN15201","FIN152","01","FIN152_01                               ","      ","01"
"P |01|SA1T10|D MG|FIN15301","FIN153","01","FIN153_01                               ","      ","01"
"P |01|SA1T10|D MG|FIN15401","FIN154","01","FIN154_01                               ","      ","01"
"P |01|SA1T10|D MG|FIN15501","FIN155","01","FIN155_01                               ","      ","01"
"P |01|SA1T10|D MG|FIN15601","FIN156","01","FIN156                                  ","      ","01"
"P |01|SA1T10|D MG|FIN15701","FIN157","01","CLIENTE CT003 - F600                    ","      ","01"
"P |01|SA1T10|D MG|FIN15801","FIN158","01","CLIENTE CARTA DE COBRANCA FIN158        ","      ","01"
"P |01|SA1T10|D MG|FIN15901","FIN159","01","FIN159                                  ","      ","01"
"P |01|SA1T10|D MG|FIN16001","FIN160","01","FIN160                                  ","      ","01"
"P |01|SA1T10|D MG|FIN16101","FIN161","01","FIN161                                  ","      ","01"
"P |01|SA1T10|D MG|FIN16201","FIN162","01","FIN162                                  ","      ","01"
"P |01|SA1T10|D MG|FIN16301","FIN163","01","TST FINR940 PCC INDIVIDUAL              ","      ","01"
"P |01|SA1T10|D MG|FIN16401","FIN164","01","LCL - FIN164                            ","      ","01"
"P |01|SA1T10|D MG|FIN16501","FIN165","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN16601","FIN166","01","CLIENTE SIMPLES PJ                      ","      ","01"
"P |01|SA1T10|D MG|FIN16701","FIN167","01","CLIENTE PADRAO SEM IMPOSTOS TST VA      ","      ","01"
"P |01|SA1T10|D MG|FIN16801","FIN168","01","SEM IMPOSTOS TST1 VA                    ","      ","01"
"P |01|SA1T10|D MG|FIN16901","FIN169","01","SEM IMPOSTOS TST VA                     ","      ","01"
"P |01|SA1T10|D MG|FIN17001","FIN170","01","CLIENTE TST VA                          ","      ","01"
"P |01|SA1T10|D MG|FIN17101","FIN171","01","SEM IMPOSTOS TST VA                     ","      ","01"
"P |01|SA1T10|D MG|FIN17201","FIN172","01","SEM IMPOSTOS VA                         ","      ","01"
"P |01|SA1T10|D MG|FIN17301","FIN173","01","SEM IMPOSTOS VA                         ","      ","01"
"P |01|SA1T10|D MG|FIN17401","FIN174","01","CLIENTE TESTE VA RELATORIO ACORDOS LIQ  ","      ","01"
"P |01|SA1T10|D MG|FIN17501","FIN175","01","SEM IMPOSTOS VA                         ","      ","01"
"P |01|SA1T10|D MG|FIN17601","FIN176","01","FIN1765 IRF EMISSAO E PCC BAIXA         ","      ","01"
"P |01|SA1T10|D MG|FIN17701","FIN177","01","CLIENTE PCC CUMULATIVIDADE              ","      ","01"
"P |01|SA1T10|D MG|FIN17801","FIN178","01","CLIENTE CARTA DE COBRANCA FIN178        ","      ","01"
"P |01|SA1T10|D MG|FIN17901","FIN179","01","CLIENTE ISS FINANCEIRO                  ","      ","01"
"P |01|SA1T10|D MG|FIN18001","FIN180","01","PADRAO SEM IMPOSTOS                     ","      ","01"
"P |01|SA1T10|D MG|FIN18101","FIN181","01","PADRAO SEM IMPOSTOS                     ","      ","01"
"P |01|SA1T10|D MG|FIN18201","FIN182","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN18301","FIN183","01","PIS / COFINS / CSLL / IR / INSS / ISS   ","      ","01"
"P |01|SA1T10|D MG|FIN18401","FIN184","01","CLIENTE COM RETENCAO ISS                ","      ","01"
"P |01|SA1T10|D MG|FIN18501","FIN185","01","PIS / COFINS / CSLL / INSS              ","      ","01"
"P |01|SA1T10|D MG|FIN18601","FIN186","01","CLIENTE COM IMPOSTO IMA/MT              ","      ","01"
"P |01|SA1T10|D MG|FIN18701","FIN187","01","CLIENTE BAIXA COM CHEQUE VINCULADO      ","      ","01"
"P |01|SA1T10|D MG|FIN18801","FIN188","01","CLIENTE CARTA DE COBRANCA FIN188        ","      ","01"
"P |01|SA1T10|D MG|FIN18901","FIN189","01","CLIENTE PADRAO SEM IMPOSTOS             ","      ","01"
"P |01|SA1T10|D MG|FIN19001","FIN190","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN19101","FIN191","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN19102","FIN191","02","FIN191                                  ","      ","01"
"P |01|SA1T10|D MG|FIN19201","FIN192","01","ALEF                                    ","      ","01"
"P |01|SA1T10|D MG|FIN19301","FIN193","01","BET                                     ","      ","01"
"P |01|SA1T10|D MG|FIN19401","FIN194","01","GIMEL                                   ","      ","01"
"P |01|SA1T10|D MG|FIN19501","FIN195","01","CLIENTE TESTE EXCLUSAO BAIXA CR         ","      ","01"
"P |01|SA1T10|D MG|FIN19601","FIN196","01","CLIENTE TESTE FINA110 CT031             ","      ","01"
"P |01|SA1T10|D MG|FIN19701","FIN197","01","IRRF MOTOR RETENCAO BAIXA.              ","      ","01"
"P |01|SA1T10|D MG|FIN19801","FIN198","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN19901","FIN199","01","FINA200 MOTOR PCC+IR BX                 ","      ","01"
"P |01|SA1T10|D MG|FIN20001","FIN200","01","CLIENTE FINA200                         ","      ","01"
"P |01|SA1T10|D MG|FIN20101","FIN201","01","CLIENTE FIN201                          ","      ","01"
"P |01|SA1T10|D MG|FIN20201","FIN202","01","CLIENTE FIN202                          ","      ","01"
"P |01|SA1T10|D MG|FIN20301","FIN203","01","PADRAO SEM IMPOSTOS                     ","      ","01"
"P |01|SA1T10|D MG|FIN20401","FIN204","01","FIN IR EMI PAG                          ","      ","01"
"P |01|SA1T10|D MG|FIN20501","FIN205","01","PADRAO                                  ","      ","01"
"P |01|SA1T10|D MG|FIN20601","FIN206","01","TODOS IMPOSTOS + COMISSAO + EMISSAO     ","      ","01"
"P |01|SA1T10|D MG|FIN20701","FIN207","01","TODOS IMPOSTOS + COMISSAO + TODOS BAIXA ","      ","01"
"P |01|SA1T10|D MG|FIN20801","FIN208","01","TODOS IMPOSTOS + COMISSAO + TODOS EMISSA","      ","01"
"P |01|SA1T10|D MG|FIN20901","FIN209","01","TODOS IMPOSTOS + COMISSAO + TODOS BAIXA ","      ","01"
"P |01|SA1T10|D MG|FIN21001","FIN210","01","CLIENTE IMPOSTOS MOTOR                  ","      ","01"
"P |01|SA1T10|D MG|FIN21101","FIN211","01","CLIENTE CUMULATIVIDADE PCC MOTOR        ","      ","01"
"P |01|SA1T10|D MG|FIN21201","FIN212","01","CLI IMPOSTOS PCC IR/ISS FOR REC         ","      ","01"
"P |01|SA1T10|D MG|FIN21301","FIN213","01","CLIENTE COM IR EMISSAO                  ","      ","01"
"P |01|SA1T10|D MG|FIN21401","FIN214","01","CLIENTE PCC CUMUL. MOTOR - EMISSAO      ","      ","01"
"P |01|SA1T10|D MG|FIN21501","FIN215","01","CLIENTE PCC BAIXA - MOTOR               ","      ","01"
"P |01|SA1T10|D MG|FIN21601","FIN216","01","CLIENTE PCC BAIXA - LEGADO              ","      ","01"
"P |01|SA1T10|D MG|FIN21701","FIN217","01","CLIENTE 217                             ","      ","01"
"P |01|SA1T10|D MG|FIN21801","FIN218","01","CLIENTE PCC VA - MOTOR                  ","      ","01"
"P |01|SA1T10|D MG|FIN21901","FIN219","01","IRRF MOTOR BAIXA VENDAS                 ","      ","01"
"P |01|SA1T10|D MG|FIN22001","FIN220","01","CLI PCC MOTOR IR LEGADO - EMISSAO       ","      ","01"
"P |01|SA1T10|D MG|FIN22101","FIN221","01","CLIENTE 221 INSS                        ","      ","01"
"P |01|SA1T10|D MG|FIN22201","FIN222","01","CLIENTE COM PCC                         ","      ","01"
"P |01|SA1T10|D MG|FIN22301","FIN223","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN22401","FIN224","01","PCC + IRPJ NA BAIXA - NAT FIN0000075    ","      ","01"
"P |01|SA1T10|D MG|FIN22501","FIN225","01","CLIENTE FINR190                         ","      ","01"
"P |01|SA1T10|D MG|FIN22601","FIN226","01","CLIENTE PF FIN                          ","      ","01"
"P |01|SA1T10|D MG|FIN22701","FIN227","01","CLIENTE PF 227                          ","      ","01"
"P |01|SA1T10|D MG|FIN22801","FIN228","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN22901","FIN229","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23001","FIN230","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23101","FIN231","01","CLIENTE PCC+IRRF RET BAIXA LEGADO       ","      ","01"
"P |01|SA1T10|D MG|FIN23201","FIN232","01","CLIENTE PADRAO 232                      ","      ","01"
"P |01|SA1T10|D MG|FIN23301","FIN233","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23401","FIN234","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23501","FIN235","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23601","FIN236","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23701","FIN237","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23801","FIN238","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN23901","FIN239","01","CLIENTE PADRAO FIN239                   ","      ","01"
"P |01|SA1T10|D MG|FIN24001","FIN240","01","CLIENTE CR PCC E IR NA BAIXA            ","      ","01"
"P |01|SA1T10|D MG|FIN24101","FIN241","01","CLIENTE FIN TIN                         ","      ","01"
"P |01|SA1T10|D MG|FIN24201","FIN242","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN24301","FIN243","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN24401","FIN244","01","CLIENTE PCC + IRRF RET BAIXA LEGADO     ","      ","01"
"P |01|SA1T10|D MG|FIN24501","FIN245","01","CLIENTE CR PCC E IR BAIXA               ","      ","01"
"P |01|SA1T10|D MG|FIN24601","FIN246","01","CLIENTE CR PCC NA BAIXA E IRRF EMISSAO  ","      ","01"
"P |01|SA1T10|D MG|FIN24701","FIN247","01","CLIENTE PADRAO 247                      ","      ","01"
"P |01|SA1T10|D MG|FIN24801","FIN248","01","PCC MOTOR BAIXA VENDAS                  ","      ","01"
"P |01|SA1T10|D MG|FIN24901","FIN249","01","CLIENTE PADRAO FIN                      ","      ","01"
"P |01|SA1T10|D MG|FIN25001","FIN250","01","CLIENTE PADRAO FIN                      ","      ","01"
"P |01|SA1T10|D MG|FIN25101","FIN251","01","CLIENTE FIN 251                         ","      ","01"
"P |01|SA1T10|D MG|FIN25201","FIN252","01","CLIENTE PADRAO FIN 252                  ","      ","01"
"P |01|SA1T10|D MG|FIN25301","FIN253","01","CLIENTE PADRAO FIN 253                  ","      ","01"
"P |01|SA1T10|D MG|FIN25401","FIN254","01","CLIENTE FIN MILE                        ","      ","01"
"P |01|SA1T10|D MG|FIN25501","FIN255","01","CLIENTE PADRAO FIN                      ","      ","01"
"P |01|SA1T10|D MG|FIN25601","FIN256","01","INR130 VA CLIENTE PADRAO                ","      ","01"
"P |01|SA1T10|D MG|FIN25701","FIN257","01","CLIENTE PADRAO FIN                      ","      ","01"
"P |01|SA1T10|D MG|FIN25801","FIN258","01","PADRAO SEM IMPOSTOS                     ","      ","01"
"P |01|SA1T10|D MG|FIN25901","FIN259","01","CLIENTE PADRAO PCC + IR                 ","      ","01"
"P |01|SA1T10|D MG|FIN26001","FIN260","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN26101","FIN261","01","CLIENTE 261 PADRAO                      ","      ","01"
"P |01|SA1T10|D MG|FIN26201","FIN262","01","CLIENTE PADRAO MAINTBXCR                ","      ","01"
"P |01|SA1T10|D MG|FIN26301","FIN263","01","CLIENTE PADRAO FIN                      ","      ","01"
"P |01|SA1T10|D MG|FIN26401","FIN264","01","CLIENTE FIN720                          ","      ","01"
"P |01|SA1T10|D MG|FIN26501","FIN265","01","PADRAO SEM IMPOSTOS                     ","      ","01"
"P |01|SA1T10|D MG|FIN26601","FIN266","01","CLIENTE FINR130 01                      ","      ","01"
"P |01|SA1T10|D MG|FIN26701","FIN267","01","CLIENTE FINR130 02                      ","      ","01"
"P |01|SA1T10|D MG|FIN26801","FIN268","01","CLIENTE FINR130 03                      ","      ","01"
"P |01|SA1T10|D MG|FIN26901","FIN269","01","CLIENTE FINR620                         ","      ","01"
"P |01|SA1T10|D MG|FIN27001","FIN270","01","CLIENTE FIN270 PCC                      ","      ","01"
"P |01|SA1T10|D MG|FIN27101","FIN271","01","CLI SEM IMPOSTOS INTERNO FINANCEIRO     ","      ","01"
"P |01|SA1T10|D MG|FIN27201","FIN272","01","CLIENTE 272                             ","      ","01"
"P |01|SA1T10|D MG|FIN27301","FIN273","01","CLIENTE TIR                             ","      ","01"
"P |01|SA1T10|D MG|FIN27401","FIN274","01","CLIENTE 274                             ","      ","01"
"P |01|SA1T10|D MG|FIN27501","FIN275","01","CLIENTE ICM SOLIDARIO                   ","      ","01"
"P |01|SA1T10|D MG|FIN27601","FIN276","01","CLIENTE PADRAO 276                      ","      ","01"
"P |01|SA1T10|D MG|FIN27701","FIN277","01","DEVOLUCAO VENDA COMISSAO EMISSAO        ","      ","01"
"P |01|SA1T10|D MG|FIN27801","FIN278","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN27901","FIN279","01","CLIENTE PCC + IRRF BAIXA MOEDA 2        ","      ","01"
"P |01|SA1T10|D MG|FIN28001","FIN280","01","FINA410 COM PROCEDURE                   ","      ","01"
"P |01|SA1T10|D MG|FIN28101","FIN281","01","FINA410 SEM PROCEDURE                   ","      ","01"
"P |01|SA1T10|D MG|FIN28201","FIN282","01","COM COMISSAO 100%BAIXA                  ","      ","01"
"P |01|SA1T10|D MG|FIN28301","FIN283","01","CLIENTE PCC + IRRF RET BAIXA FINA110    ","      ","01"
"P |01|SA1T10|D MG|FIN28401","FIN284","01","TODOS IMPOSTOS + COMISSAO + TODOS BAIXA ","      ","01"
"P |01|SA1T10|D MG|FIN28501","FIN285","01","TOTVS ANTECIPA                          ","      ","01"
"P |01|SA1T10|D MG|FIN28502","FIN285","02","TOTVS ANTECIPA IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|FIN28601","FIN286","01","CLIENTE PADRAO SEM IMPOSTOS             ","      ","01"
"P |01|SA1T10|D MG|FIN28701","FIN287","01","CLIENTE FINA330 CT266                   ","      ","01"
"P |01|SA1T10|D MG|FIN28801","FIN288","01","CLIENTE PCC E IR RET BAIXA              ","      ","01"
"P |01|SA1T10|D MG|FIN28901","FIN289","01","TESTE LCDPR                             ","      ","01"
"P |01|SA1T10|D MG|FIN29001","FIN290","01","CLIENTE CONCILIADOR                     ","      ","01"
"P |01|SA1T10|D MG|FIN29101","FIN291","01","FINA440 CT030                           ","      ","01"
"P |01|SA1T10|D MG|FIN29201","FIN292","01","FIN292 IMPOSTOS                         ","      ","01"
"P |01|SA1T10|D MG|FIN29301","FIN293","01","CLIENTE FINANCEIRO 293                  ","      ","01"
"P |01|SA1T10|D MG|FIN29401","FIN294","01","TESTE FINR130 COMPENSACAO FILIAIS       ","      ","01"
"P |01|SA1T10|D MG|FIN29501","FIN295","01","CLI FINC010 CT015                       ","      ","01"
"P |01|SA1T10|D MG|FIN29601","FIN296","01","FINANCEIRO 296                          ","      ","01"
"P |01|SA1T10|D MG|FIN29701","FIN297","01","CLIENTE RECOLHE IMP NAO                 ","      ","01"
"P |01|SA1T10|D MG|FIN29801","FIN298","01","CLIENTE RA EM MOEDA 2                   ","      ","01"
"P |01|SA1T10|D MG|FIN29901","FIN299","01","DSERFINR-26260                          ","      ","01"
"P |01|SA1T10|D MG|FIN30001","FIN300","01","CLIENTE PCC MOTOR                       ","      ","01"
"P |01|SA1T10|D MG|FIN30101","FIN301","01","CLIENTE TESTE MOTOR RETENCAO            ","      ","01"
"P |01|SA1T10|D MG|FIN30201","FIN302","01","CLIENTE PCC+IR MOTOR                    ","      ","01"
"P |01|SA1T10|D MG|FIN30301","FIN303","01","CLIENTE MOTOR PCC BAIXA                 ","      ","01"
"P |01|SA1T10|D MG|FIN30401","FIN304","01","TODOS IMPOSTOS                          ","      ","01"
"P |01|SA1T10|D MG|FIN30501","FIN305","01","CLIENTE FINR550 CT013                   ","      ","01"
"P |01|SA1T10|D MG|FIN30601","FIN306","01","CLI PCC MOTOR IR LEGADO                 ","      ","01"
"P |01|SA1T10|D MG|FIN30701","FIN307","01","CLIENTE 307                             ","      ","01"
"P |01|SA1T10|D MG|FIN30801","FIN308","01","CLIENTE FIN308                          ","      ","01"
"P |01|SA1T10|D MG|FIN30901","FIN309","01","CLIENTE FIN309                          ","      ","01"
"P |01|SA1T10|D MG|FIN31001","FIN310","01","FINA440 SEM IMPOSTOS FIN                ","      ","01"
"P |01|SA1T10|D MG|FIN32001","FIN320","01","CLIENTE PCC IR - CT GLOSA               ","      ","01"
"P |01|SA1T10|D MG|FIN32701","FIN327","01","DFINGRV-20908                           ","      ","01"
"P |01|SA1T10|D MG|FIN33001","FIN330","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN33101","FIN331","01","PCC EMISSAO                             ","      ","01"
"P |01|SA1T10|D MG|FIN33201","FIN332","01","CLIENTE SEM IMPOSTOS                    ","      ","01"
"P |01|SA1T10|D MG|FIN33301","FIN333","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN33401","FIN334","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN33501","FIN335","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN33601","FIN336","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|FIN36601","FIN366","01","CLIENTE TESTE FINANCEIRO                ","      ","01"
"P |01|SA1T10|D MG|FIN38001","FIN380","01","CLIENTE PADRAO FINA380                  ","      ","01"
"P |01|SA1T10|D MG|FIN39001","FIN390","01","CLIENTE PARA CT149 DA FINA460           ","      ","01"
"P |01|SA1T10|D MG|FIN40001","FIN400","01","INSS COMPLEMENTO DE IMPOSTO             ","      ","01"
"P |01|SA1T10|D MG|FIN40101","FIN401","01","ACERTOS INSS COMPLEMENTO DE IMPOSTO     ","      ","01"
"P |01|SA1T10|D MG|FIN43101","FIN431","01","TESTE FINA450 CT020                     ","      ","01"
"P |01|SA1T10|D MG|FIN43201","FIN432","01","FIN 12432                               ","      ","01"
"P |01|SA1T10|D MG|FIN43501","FIN435","01","LGPD FIN                                ","      ","01"
